уроки,lessons
cловник,dictionary
збентежений,confused
можливість,possibility
радіти,rejoice
практика,practice
вимова,pronunciation
коріння,roots
зниклого покоління,a lost generation
табори переміщених осіб,camps of displaced persons
врешті-решт,eventually
розділили,divided
зловили,caught
був волонтером,was a volunteer
військовий інженер,military engineer
корейська,korean
одружилися,got married
єдина дитина,the only child
маю двох братів,I have two brothers
щось,something
інженер-хімік,chemical engineer
двох дочок,two daughters
молодший брат,younger brother
ступінь у праві,degree in law
юрист,lawyer
перекласти,to translate
злий,evil
Я не згоден,I do not agree
кожен=кожний(m) кожна(f),everyone=everyone
кожного дня = щодня,every day = every day
залежно від,depending on
ділитися,share
